Place,X-coord,Y-coord,Rooms,CommonR,Sauna,m^2,Age,Price
Yliskyläntie 2 C,60.1809921,25.0510924,3H+K+S,3,1,76 m²,1996,1 263 €/kk 
Aarteenetsijänkuja 8,60.23804060000001,25.1044663,"2h, K, s, las parveke",2,1,62 m²,1988,890 €/kk 
Vuotie 49a A,60.2072362,25.1496668,3h+kt,3,0,61 m²,2023,1 360 €/kk 
Näyttelijäntie 24 G,60.23249769999999,24.8925323,2h+kt,2,0,"49,5 m²",1959,1 009 €/kk 
Paatsamatie 14 B,60.22239579999999,24.8911501,1h+kt,1,0,32 m²,2023,865 €/kk 
Vuotie 49a A,60.2072362,25.1496668,2h+kt,2,0,42 m²,2023,1 045 €/kk 
SUUNNITTELIJANKATU 4 B,60.1952799,25.034364,1 H + KT,1,0,"34,5 m²",2020,953 €/kk 
Tarkk'ampujankatu 14,60.1607053,24.9440109,3h + avok,3,0,65 m²,1930,2 600 €/kk 
Kaarenjalka 5 E,60.23742240000001,25.0749375,3h+k,3,0,61 m²,1968,1 079 €/kk 
Urho Kekkosen katu 5,60.1686999,24.9324815,"3h, ak, kph, s, 2wc, p",3,1,76 m²,2005,3 647 €/kk 
Vanha viertotie 18 B,60.2102117,24.8834204,2h+kk,2,0,44 m²,1963,875 €/kk 
Suezinkatu 3,60.15848130000001,24.9205043,2H+KT,2,0,"51,5 m²",2014,1 203 €/kk 
Urheilukatu 30 A,60.18798499999999,24.9201263,"2h, avok, kph",2,0,"45,5 m²",1938,1 050 €/kk 
Mariankatu 28,60.17395190000001,24.9561175,"1h, k, kph",1,0,"44,5 m²",1908,950 €/kk 
Ansaritie 2-4 B,60.2089507,24.8859766,1h+kt,1,0,25 m²,1960,779 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"38,5 m²",2023,1 240 €/kk 
Mechelininkatu 18,60.1729662,24.9192703,3H+K,3,0,88 m²,1936,1 943 €/kk 
Kalliolanrinne 4,60.1881197,24.9470297,1h+kt,1,0,"20,5 m²",2020,799 €/kk 
Tarkk'ampujankatu 12 A,60.160827,24.9445246,3h+k+kph,3,0,60 m²,1935,1 395 €/kk 
Klaavuntie 8-10 G,60.20927969999999,25.0971015,1h+kk,1,0,32 m²,1961,739 €/kk 
Kotikonnuntie 8 A,60.2407868,25.085611,1h+kt,1,0,"31,5 m²",2015,795 €/kk 
Näyttelijäntie 24 A,60.2315822,24.8923989,1h+kt,1,0,25 m²,1959,699 €/kk 
Piispantie 2,60.2290797,24.8476205,2H+K+S,2,1,55 m²,1997,998 €/kk 
Maasälväntie 5-9,60.2371431,25.0116904,3H+K,3,0,67 m²,1963,1 090 €/kk 
Jarrumiehenkatu 2 B,60.2013187,24.9414211,3h+kt,3,0,61 m²,1976,1 278 €/kk 
Merisotilaantori 3,60.16809679999999,24.9757691,2h + avok + p,2,0,54 m²,1984,1 800 €/kk 
Hietalahdenkatu 16-18 D,60.1642671,24.9261695,"4h, k, parveke",4,0,"102,3 m²",1952,1 790 €/kk 
Von Daehnin katu 11,60.2311509,25.0444668,2H+KT,2,0,39 m²,2008,"900,71 €/kk "
PITÄJÄNMÄENTIE 35 A,60.22563879999999,24.849538,3H+K,3,0,"74,5 m²",1978,1 215 €/kk 
Neljäs linja 3-5,60.1822076,24.9531923,1H+K,1,0,"42,3 m²",1946,957 €/kk 
Agronominkatu 1,60.23425039999999,25.0338372,2H+KT,2,0,42 m²,2012,"936,07 €/kk "
Rukkilantie 7-9 B 20,60.25145980000001,24.8647514,3h+k+s+p,3,1,75 m²,2000,1 249 €/kk 
Lapinrinne 2,60.16613149999999,24.9265134,3h + avok + s + p,3,1,64 m²,1979,2 400 €/kk 
Hakaniemenkuja 8,60.1795418,24.9541448,2h + Keittiö,2,0,79 m²,1934,2 100 €/kk 
Toinen linja 31 C,60.1840099,24.9425253,1h+kk,1,0,22 m²,1937,735 €/kk 
Hela-aukio 4,60.2550611,25.0189062,3H+K,3,0,"63,5 m²",2010,1 140 €/kk 
Laakavuorentie 4 A,60.24104310000001,25.110531,3h+k,3,0,"64,5 m²",1992,999 €/kk 
Punakiventie 17 B,60.2139389,25.1440163,"3h, avok, kph, s, p",3,1,67 m²,2019,1 150 €/kk 
Vilppulantie 29 B,60.2506022,25.0228968,2H+KK,2,0,39 m²,1986,849 €/kk 
Vuotie 47 C,60.207069,25.148776,3H+KT+VIH,3,0,75 m²,2023,1 655 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,3h+kt,3,0,52 m²,2023,1 809 €/kk 
Agricolankatu 2,60.1842418,24.9563606,3H+K+KPH,3,0,74 m²,1939,2 250 €/kk 
Oskelantie 4,60.21718459999999,24.9009165,2H+K,2,0,55 m²,1920,"1095,40 €/kk "
Karpalokuja 4 B,60.23071340000001,25.0734404,2h+kk,2,0,"46,5 m²",1983,879 €/kk 
Von Daehnin katu 7,60.23150309999999,25.0456407,2 H + K + S,2,1,57 m²,2008,1 094 €/kk 
Viipurinkatu 9 B,60.1911984,24.9430799,2h+kk+kph,2,0,41 m²,1936,938 €/kk 
Arhotie 22 A,60.21779850000001,25.086443,3h+k,3,0,"65,4 m²",1964,1 099 €/kk 
Kristianinkatu 11-13,60.1757131,24.9572791,"1h, ak, kph",1,0,"37,5 m²",1935,2 625 €/kk 
Jauhajankuja 2 B,60.2046033,25.1499727,3h+k+s+p,3,1,85 m²,2012,1 468 €/kk 
Albertinkatu 27b A17,60.1644004,24.9333744,4h+,4,0,"86,4 m²",1970,3 800 €/kk 
Nervanderinkatu 1,60.17160870000001,24.9318573,"3h, k, kh, erillinen wc",3,0,85 m²,1910,1 700 €/kk 
Vanha talvitie 3,60.1894244,24.9748655,3H+KT+lasitettu parveke,3,0,64 m²,2021,1 570 €/kk 
Neulapadontie 7,60.2223057,25.0648257,1h + yhteiset tilat,1,0,10 m²,1973,420 €/kk 
Kalliolanrinne 3 B,60.1883042,24.9470145,3h+avok+viherhuone+kph+s,3,1,114 m²,1939,2 390 €/kk 
