Place,X-coord,Y-coord,Rooms,CommonR,Sauna,m^2,Age,Price
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,"28,5 m²",2023,987 €/kk 
Lupajantie 4,60.23144139999999,25.1048008,2H+KK,2,0,45 m²,1985,850 €/kk 
Agronominraitti 2,60.2339578,25.0354171,2H+KK,2,0,42 m²,2005,897 €/kk 
Päivärinnankatu 7 A,60.1883634,24.9154425,1h+kk+kph,1,0,21 m²,1937,730 €/kk 
Abraham Wetterin tie 14 B 23,60.19309690000001,25.0458306,1h+kt+lasitettu parv,1,0,"37,5 m²",2013,925 €/kk 
Kanavakatu 3,60.1661508,24.9648117,1h + avok,1,0,20 m²,1929,910 €/kk 
Rusthollarinkuja 2 H,60.2115976,25.0929824,3h+k,3,0,"65,4 m²",1962,1 049 €/kk 
Kustinpolku 17 A,60.218499,24.924674,3h+kt,3,0,"70,5 m²",2023,1 440 €/kk 
Tapulikaupungintie  13,60.27708680000001,25.0351375,2H+K+S,2,1,"61,5 m²",2000,1 040 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,1h+kt,1,0,33 m²,2023,930 €/kk 
Ristipellontie 6,60.23875799999999,24.851662,1H+KT,1,0,35 m²,2011,825 €/kk 
Fregatti Dygdenin kuja 5,60.1812633,24.9755761,2H+KT,2,0,47 m²,2021,1 345 €/kk 
Vanha Viertotie 9,60.2106865,24.8859962,2H+KK+S,2,1,50 m²,2003,970 €/kk 
Katariina Saksilaisen katu 11,60.2160951,24.9864174,3H+K,3,0,74 m²,1946,1 495 €/kk 
Työnjohtajankatu 11,60.19672420000001,25.0354811,1h + avok,1,0,27 m²,2023,930 €/kk 
Lapinmäentie 8,60.20797200000001,24.8820419,2H+KT+S,2,1,"54,5 m²",2023,1 200 €/kk 
Lintulahdenkatu 6 A,60.1842647,24.9617033,1h+kk,1,0,"38,5 m²",2011,930 €/kk 
Itämerenkatu 18 B,60.1631193,24.9122969,2h+kk+s,2,1,"50,5 m²",1994,1 146 €/kk 
Bertha Pauligin katu 3 A,60.20661619999999,25.1503227,3h+kt+s,3,1,61 m²,2023,1 400 €/kk 
Madeiranaukio 4 A 31,60.1524015,24.9117547,2h+kt,2,0,"59,5 m²",2021,"1725,50 €/kk "
Pertunpellontie 6,60.2670739,24.991768,3H+KT,3,0,65 m²,2017,1 298 €/kk 
Niittaajankatu 9 B 37,60.1911806,25.0272375,3h+k+s+lasitettu parv.,3,1,"74,5 m²",2001,1 420 €/kk 
Kaupintie 8,60.23138770000001,24.8829976,1h+avok,1,0,25 m²,1983,1 302 €/kk 
Aurinkotuulenkatu 8 B,60.2065141,25.1591559,2h+kk,2,0,"39,5 m²",2011,934 €/kk 
Keinulaudantie 7 D,60.23495800000001,25.0732342,4h+k,4,0,99 m²,1966,1 489 €/kk 
Kaivolahdenkatu 5,60.1882611,25.0389709,2H+KT+S,2,1,"54,5 m²",1995,"1038,28 €/kk "
Hämeentie 5b A,60.18115569999999,24.9540002,2h+k,2,0,"61,5 m²",1989,1 154 €/kk 
Hiihtäjäntie 1,60.1956309,25.0285321,3H+K+S,3,1,79 m²,2012,1 524 €/kk 
Näyttelijäntie 24 B,60.2315822,24.8923989,2h+kt,2,0,"49,5 m²",1959,999 €/kk 
Limingantie 50 B,60.2076702,24.9608237,1h+kk+kph,1,0,20 m²,1937,678 €/kk 
Risupadontie 6,60.2319348,24.9464029,2H+K,2,0,61 m²,1971,995 €/kk 
HENRIKINTIE 7 C,60.2259736,24.8489668,2H+K,2,0,60 m²,1991,949 €/kk 
Maasälväntie 5-9,60.2371431,25.0116904,2H+KK,2,0,39 m²,1963,839 €/kk 
Tapulikaupungintie 11 A 17,60.2766898,25.0351389,2h+kk+s+lasitettu parv,2,1,44 m²,2000,850 €/kk 
Paatsamatie 14 B,60.22239579999999,24.8911501,3h+kt,3,0,71 m²,2023,1 650 €/kk 
Haapaniemenkatu 11,60.17904109999999,24.959629,3H+K,3,0,78 m²,1979,1 540 €/kk 
Capellankuja 4,60.1891076,24.9834945,2h + avok,2,0,46 m²,2021,1 550 €/kk 
Pläsinpellonkuja 4,60.265272,24.9860301,"2h, avok, kh, lasitettu parvek",2,0,"46,5 m²",2017,850 €/kk 
Malmin Kauppatie 4 A,60.2482633,25.0035976,4H+K+S,4,1,"89,5 m²",2001,1 460 €/kk 
Eerikinkatu 24,60.1660802,24.9324125,"1h, kph",1,0,25 m²,1956,1 696 €/kk 
Vuorikummuntie 6b A,60.232271,24.846969,3h+kt+s,3,1,59 m²,2021,1 110 €/kk 
Viikinportti 2 E,60.2262504,25.0085841,2h+kt+s+p,2,1,"58,5 m²",2011,1 158 €/kk 
Kivipadontie 6h A,60.233337,24.948913,1h+kt,1,0,36 m²,2023,840 €/kk 
Paahtajankuja 4 A,60.20550989999999,25.1498803,2h+kt,2,0,37 m²,2021,920 €/kk 
Tyynenmerenkatu 5,60.1581676,24.9214932,2H+KT,2,0,"51,5 m²",2012,1 275 €/kk 
Lapinmäentie 10,60.2071836,24.8820041,1H+KT,1,0,36 m²,2021,950 €/kk 
Kruunuvuorenkatu 4 C,60.1665019,24.9652824,3h+kt,3,0,67 m²,1907,1 980 €/kk 
Ristiretkeläistenkatu 17A,60.22493129999999,24.9866619,1H + T,1,0,29 m²,2020,899 €/kk 
Näyttelijäntie 22 C-D,60.231546,24.8925402,3H+K,3,0,64 m²,1959,1 208 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,"27,5 m²",2023,900 €/kk 
Viikinportti 2 D,60.2262504,25.0085841,2h+kt+s+p,2,1,59 m²,2011,1 148 €/kk 
Pohjoisranta 20 b,60.17491620000001,24.9609895,"6 h, k",6,0,173 m²,1929,3 500 €/kk 
Johan Bockin kuja 6 F,60.24019070000001,24.984246,3h+k+s,3,1,80 m²,1991,1 235 €/kk 
Rälssintie 7,60.2411293,24.9860139,2H+K,2,0,59 m²,1990,917 €/kk 
Ida Aalbergin tie 3a As,60.2304999,24.8990185,4h+k,4,0,75 m²,1958,1 245 €/kk 
Haapaniemenkatu 16 B,60.17934829999999,24.9618287,2h+kk+kph+lasit.p,2,0,"41,5 m²",1974,889 €/kk 
Pasilankatu 17 B 46,60.2010391,24.9271821,2H+KT,2,0,"41,5 m²",2021,"806,86 €/kk "
Vuotie 47 C,60.207069,25.148776,2H+KT+ALK+VIH,2,0,"53,5 m²",2023,1 279 €/kk 
Huopalahdentie 30,60.2115211,24.8808412,"2h, kk, kph, parveke",2,0,"49,5 m²",2005,960 €/kk 
E.J. Nyströmin polku 3 D,60.23217739999999,24.979143,3h+k+kph+vh+p,3,0,64 m²,1996,970 €/kk 
Pajamäentie 7 B,60.2194292,24.8560789,3h+k,3,0,63 m²,1960,1 125 €/kk 
Vyökatu 5 A,60.1673092,24.9686348,1h+kk,1,0,31 m²,1890,916 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,4h+kt,4,0,73 m²,2023,2 440 €/kk 
Haapalahdenkatu 1,60.2068891,24.8904792,2H+K,2,0,"58,5 m²",1991,"1089,19 €/kk "
Madetojankuja 1,60.2433113,24.9918836,2H+KT,2,0,46 m²,2023,995 €/kk 
Plazankuja 5,60.19118459999999,24.9677741,3H+KT+S,3,1,69 m²,2013,1 575 €/kk 
Perhekunnantie 26,60.2566607,24.8970777,2H+K,2,0,61 m²,1992,"1049,87 €/kk "
Hirsipadontie 7,60.2338215,24.9507008,2h+k,2,0,59 m²,1974,970 €/kk 
Kerttulinkuja 3 E,60.1896187,25.0392175,2H+KK+S+P,2,1,"46,5 m²",1997,932 €/kk 
Hitsaajankatu 9 B,60.1923904,25.0286264,3h+kt+s,3,1,"64,5 m²",2019,1 265 €/kk 
Kruunuvuorenkatu 2,60.16745049999999,24.9625844,1H+KT,1,0,"35,5 m²",2019,1 023 €/kk 
Kallvikintie 93,60.2234488,25.1365979,2H+KT,2,0,"52,5 m²",2020,980 €/kk 
Temperankatu 2 B,60.2618023,24.8914321,1h+tupak.,1,0,"33,5 m²",2019,745 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"37,5 m²",2023,1 200 €/kk 
Töölönkatu 30b,60.17873449999999,24.9259975,2h+k+kph,2,0,47 m²,1937,950 €/kk 
Arabiankatu 4,60.2067171,24.9767752,2H+KK+S,2,1,"47,5 m²",2014,1 153 €/kk 
Melkonkatu 12,60.1497186,24.8830812,2H+KK,2,0,41 m²,2010,1 199 €/kk 
Capellanranta 10,60.189338,24.98427,1h+ alkovi +avokeittiö,1,0,27 m²,2022,890 €/kk 
Vellamonkatu 1,60.1927002,24.9654905,"3h, tk, kph, p",3,0,65 m²,2005,3 568 €/kk 
Retkeilijänkatu 15 B,60.20519539999999,25.1263504,1H+KT+P,1,0,"31,5 m²",2020,837 €/kk 
Anianpellontie 17 E,60.2511991,25.0007054,1h + k+kh+ sauna+ lassierassi ja puutarha,1,1,70 m²,1985,540 €/kk 
Lönnrotinkatu 17,60.1653367,24.9352748,7h+k+kph+2wc,7,0,12 m²,1920,470 €/kk 
Tallberginkatu 3,60.16257169999999,24.9039311,2h+k+sauna+loft+terrassi,2,1,"105,5 m²",1941,2 200 €/kk 
Maaherrantie 34 A,60.2309053,24.9729067,1h+avok+alkovi+kph+las.parveke,1,0,"31,5 m²",2023,795 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,41 m²,2023,1 217 €/kk 
Ida Aalbergin tie 3b B,60.23150949999999,24.8987604,1h+kk,1,0,24 m²,1959,675 €/kk 
HITSAAJANKATU 7 A,60.1922943,25.0283064,3 H + KT + S,3,1,75 m²,2015,1 576 €/kk 
Käenkuja 8,60.1852245,24.9655411,2H+K+S,2,1,55 m²,2002,1 250 €/kk 
Vuotie 49a A,60.2072362,25.1496668,3h+kt,3,0,53 m²,2023,1 200 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,"34,5 m²",2023,1 100 €/kk 
Jauhajankuja 1 C,60.20457990000001,25.1497846,2h+kt+s,2,1,59 m²,2015,1 166 €/kk 
Kantelettarentie 15,60.24123319999999,24.8847953,2H+KT,2,0,49 m²,2019,999 €/kk 
Vanhanlinnantie 3 J,60.21433179999999,25.0880759,2h+kk+parveke,2,0,45 m²,2011,908 €/kk 
Ulvilantie 21,60.209413,24.8686238,2h+kk,2,0,42 m²,1959,810 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,1h+kt,1,0,"28,5 m²",2023,895 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"43,5 m²",2023,1 409 €/kk 
Pajuniityntie 3-5 B,60.2170748,24.905744,1h+kt,1,0,"37,5 m²",2016,867 €/kk 
Länsisatamankatu 26,60.15697100000001,24.912688,2h+kt,2,0,"44,5 m²",2018,1 075 €/kk 
Tyynenmerenkatu 3 B 42,60.1590551,24.9208259,3h+k+s+lasitettu parv,3,1,69 m²,2014,1 660 €/kk 
Tapulikaupungintie 11 A 23,60.2766898,25.0351389,3h+k+s+lasitettu parv,3,1,74 m²,2000,1 260 €/kk 
Kuninkaantammenkierto 21 B 12,60.2588098,24.8929838,2h+kt,2,0,35 m²,2023,765 €/kk 
Kuuluttajankatu 2,60.2045528,24.9177801,2H+KT+S,2,1,45 m²,2013,1 190 €/kk 
Biologinkatu 6 A,60.2343759,25.0409559,3h+kk+kph+parveke,3,0,63 m²,2007,1 100 €/kk 
Työpajankatu 6,60.1892085,24.9757517,1h+kt+p,1,0,29 m²,2022,984 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,3h+kt+khh+s+vh,3,1,68 m²,2023,1 590 €/kk 
Leikosaarentie 12 C,60.20284290000001,25.1374301,3h+k+s,3,1,72 m²,1995,1 139 €/kk 
Vinsentinaukio 4,60.18010150000001,24.9747363,1H+KT,1,0,34 m²,2021,990 €/kk 
Bulevardi 24,60.1640872,24.9367312,3h+k+kph,3,0,108 m²,1910,2 200 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"41,5 m²",2023,1 265 €/kk 
Naavapolku 1,60.25358259999999,24.8493792,3H+K,3,0,73 m²,1993,"1146,51 €/kk "
Bulevardi 31,60.163107,24.9312636,3H+KT,3,0,70 m²,2023,2 200 €/kk 
Vuotie 49a A,60.2072362,25.1496668,2h+kt,2,0,39 m²,2023,980 €/kk 
Näkinkuja 6 A,60.180325,24.9546443,3h+k+s,3,1,"75,5 m²",1994,1 599 €/kk 
Vanhanlinnantie 3 H,60.21433179999999,25.0880759,2h+kk+parveke,2,0,"42,5 m²",2011,908 €/kk 
Kahvipavunkuja 6 A,60.20595160000001,25.1496211,2h+kt+s,2,1,54 m²,2017,988 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,"34,5 m²",2023,1 028 €/kk 
Pikalähetintie 14 C,60.2280119,24.9522365,3h+kk+kph+vh+p,3,0,"53,5 m²",1957,860 €/kk 
Punanotkonkatu 2,60.1627847,24.947656,2H+KT,2,0,54 m²,2020,1 645 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,4h+kt,4,0,73 m²,2023,2 360 €/kk 
Gustav Pauligin katu 5a B,60.206121,25.150977,2h+kt,2,0,"41,5 m²",2022,930 €/kk 
Merimiehenkatu 32 B,60.1594637,24.935497,1h+kk+kph+p,1,0,21 m²,1962,740 €/kk 
Bulevardi 12 A 22,60.1653369,24.9406766,3h+avok+kph+höyrysauna+wc,3,0,117 m²,1890,3 800 €/kk 
Lapinmäentie 8,60.20797200000001,24.8820419,2H+KT+S,2,1,"54,5 m²",2023,1 198 €/kk 
Henrik Borgströmin tie 2,60.17461729999999,25.0374962,1H+KT,1,0,28 m²,2019,789 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,35 m²,2023,1 080 €/kk 
Postiljooninkatu 4 A,60.2199687,24.9296314,1h+kt+kph+parveke,1,0,28 m²,2021,800 €/kk 
Mannerheimintie 170,60.2035984,24.8985839,"1h, ak, kph, wc",1,0,40 m²,2018,2 596 €/kk 
Bertha Pauligin katu 2b A,60.20652390000001,25.1506145,1h+kt+alk,1,0,34 m²,2023,860 €/kk 
Bulevardi 31,60.163107,24.9312636,3H+KT,3,0,"73,5 m²",2023,2 250 €/kk 
Runeberginkatu 25,60.1720815,24.9238685,"3h, avokeittiö, kph, eteinen",3,0,"70,5 m²",1924,1 590 €/kk 
Roihuvuorentie 30,60.2029666,25.0589313,1H+KK,1,0,26 m²,1956,706 €/kk 
Peltokyläntie 1 K,60.26759769999999,24.9811506,2h+kk,2,0,38 m²,1986,825 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,1h+kt,1,0,33 m²,2023,950 €/kk 
Halkaisijantie 5,60.20280210000001,25.1270918,2H+K,2,0,60 m²,1990,950 €/kk 
Korvatunturintie 6 A 26,60.2376248,25.1179932,2H+KT+S,2,1,54 m²,2019,"1060,98 €/kk "
Kallvikintie 91,60.2230883,25.1361476,2H+KT,2,0,"46,5 m²",2020,930 €/kk 
Kaupintie 8,60.23138770000001,24.8829976,1h+avok,1,0,35 m²,1983,1 457 €/kk 
Kuninkaantammenkierto 21 C 30,60.2588098,24.8929838,2h+kt,2,0,"34,5 m²",2023,760 €/kk 
Iso Roobertinkatu 11,60.1634999,24.9425605,3H+KT,3,0,"61,5 m²",1886,1 790 €/kk 
Abrahaminkatu 11 B,60.1645216,24.9289998,"1 h, k, alk, kph, et",1,0,40 m²,1950,900 €/kk 
Vattuniemenkatu 18 F,60.15320310000001,24.8846599,4-5h k kph wc 2xp,4,0,116 m²,1974,1 950 €/kk 
Eteläinen Hesperiankatu 32,60.1759632,24.9195196,1h + avok,1,0,41 m²,1927,1 350 €/kk 
Otavantie 9 C,60.1600166,24.8806458,1h+kt,1,0,"27,5 m²",2017,920 €/kk 
Neljäs linja 3-5,60.1822076,24.9531923,1H+KK,1,0,"23,1 m²",1946,719 €/kk 
Uimarannantie 8 A 13,60.25842590000001,24.9856429,2h+kt,2,0,44 m²,2022,925 €/kk 
Leppäsuonkatu 10,60.16904939999999,24.9223147,2h + ak + p,2,0,34 m²,2011,1 130 €/kk 
Tyynenmerenkatu 3 B 44,60.1590551,24.9208259,2h+kt+lasitettu parv,2,0,"51,5 m²",2014,1 370 €/kk 
Kivipadontie 6h B,60.233337,24.948913,1h+kt,1,0,31 m²,2023,810 €/kk 
Tunturikatu 16 A,60.1741374,24.9236927,1h+k,1,0,39 m²,1928,1 025 €/kk 
HUOPALAHDENTIE 29 A,60.20819849999999,24.8800612,1 H + KT,1,0,"24,5 m²",2021,817 €/kk 
Liljasaarentie 8 F,60.1814616,24.8456743,"5 h + k + ruokailu + takkahuone + 2 kph, sauna + wc + vaatehuone",5,1,"193,5 m²",1969,3 950 €/kk 
Kotikonnuntie 8 B,60.2407806,25.0852206,1h+kt,1,0,"31,5 m²",2015,767 €/kk 
Juorumäenkuja 5 A,60.20903939999999,25.1040461,2h+k,2,0,"54,5 m²",2003,939 €/kk 
Kirkkosalmentie 3 B,60.1798424,25.0467116,1h+kk+kph+lasitettu parveke,1,0,24 m²,1966,665 €/kk 
Kristianinkatu 11-13,60.1757131,24.9572791,"1h, 1minik, kph",1,0,"36,5 m²",1935,2 625 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,"35,5 m²",2023,980 €/kk 
Koirasaarentie 43 B,60.16939999999999,25.015902,1h+avok+kph+ransk.parveke,1,0,"33,5 m²",2023,875 €/kk 
Porintie 3,60.2050376,24.8708015,"1h, kk, kph, parveke",1,0,27 m²,1957,700 €/kk 
Gustav Pauligin katu 5a B,60.206121,25.150977,2h+kt,2,0,35 m²,2022,865 €/kk 
Kustinpolku 17 A,60.218499,24.924674,3h+kt,3,0,"70,5 m²",2023,1 430 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,3h+kt+khh+s+vh,3,1,"67,5 m²",2023,1 585 €/kk 
Liisankatu 16,60.1737407,24.9543656,7h+k+2kph+2wc,7,0,12 m²,1905,450 €/kk 
Vuotie 49a A,60.2072362,25.1496668,2h+kt,2,0,37 m²,2023,930 €/kk 
Arabiankatu 6 D,60.2081202,24.9780062,1h+kk,1,0,"47,5 m²",2014,1 015 €/kk 
Vanha Viertotie 9,60.2106865,24.8859962,3H+K+S,3,1,74 m²,2003,1 345 €/kk 
Kustinpolku 17 A,60.218499,24.924674,1h+kt,1,0,"28,5 m²",2023,830 €/kk 
Meri-Rastilan tie 40 A,60.20212180000001,25.1299309,3h+k,3,0,"66,5 m²",1991,1 069 €/kk 
Taidemaalarinkatu 8 B,60.2623304,24.8908045,5h+k+kph+s+eril.wc+las.parv.,5,1,111 m²,2021,1 900 €/kk 
Wavulinintie 1,60.15412229999999,24.8789073,"1h, ak, kph, wc",1,0,24 m²,1954,1 606 €/kk 
Koskelantie 64b B,60.21521029999999,24.9641249,2H+KT+Ranskalainen parveke ,2,0,41 m²,2021,1 009 €/kk 
Ansaritie 2-4 C,60.2089507,24.8859766,4h+kt,4,0,"72,5 m²",1960,1 549 €/kk 
Retkeilijänkatu 3 A,60.2057558,25.1211271,1h+avok,1,0,31 m²,2015,776 €/kk 
Taidemaalarinkatu 5 A,60.26187669999999,24.891077,3h+kt,3,0,70 m²,2016,1 166 €/kk 
Kivipadontie 6h B,60.233337,24.948913,2h+kt+s,2,1,"45,5 m²",2023,995 €/kk 
Haapsalunkuja 4,60.19574439999999,25.117397,3H+KT,3,0,72 m²,2017,1 548 €/kk 
Otto Brandtin tie 16 H,60.2327548,24.9772686,3h+k,3,0,67 m²,1988,1 099 €/kk 
Atlantinkatu 12 B,60.1545608,24.9107431,4h+kt+s,4,1,"93,5 m²",2020,2 199 €/kk 
Sturenkatu 47 A,60.1963228,24.9609954,2h+kk,2,0,44 m²,1937,925 €/kk 
Leikkikuja 2a,60.241957,25.084536,2H+KK,2,0,"49,5 m²",1974,880 €/kk 
Sinebrychoffinkatu 11,60.16192489999999,24.9345606,3h + k + s + p,3,1,76 m²,1981,2 800 €/kk 
Koirasaarentie 43,60.16939999999999,25.015902,1h+kt+kph+avoparveke,1,0,"32,5 m²",2023,890 €/kk 
Vanha Viertotie 13 B,60.2105523,24.8847357,1h+kk+kph+vh+p,1,0,27 m²,1958,730 €/kk 
Vuotie 49a A,60.2072362,25.1496668,3h+kt,3,0,62 m²,2023,1 375 €/kk 
Kruunuvuorenkatu 4 A,60.1665019,24.9652824,4h+kt+s,4,1,103 m²,1907,3 790 €/kk 
Tulvaniitynpolku 5 a ,60.23209689999999,24.981987,3h+k+kh/wc/sauna+parveke,3,0,67 m²,1998,1 000 €/kk 
Kaivonkatsojantie 2 A,60.2061057,25.1359309,2h+k,2,0,49 m²,2000,849 €/kk 
Keijukaistenpolku 9,60.19730370000001,25.0586681,1h+kk+kph,1,0,"27,5 m²",1955,695 €/kk 
Kutomotie 14 A,60.21467199999999,24.8698988,2h+kk,2,0,"39,5 m²",2016,899 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,34 m²,2023,1 044 €/kk 
Kotikonnuntie 7 D,60.2416856,25.0868727,2h+k+kph+p,2,0,58 m²,1967,850 €/kk 
Gunillantie 22 A,60.1698555,25.0323981,2h+kt,2,0,"41,5 m²",2015,909 €/kk 
Niittaajankatu 7 A,60.19136519999999,25.0288025,3h+kk+s,3,1,"60,5 m²",2001,1 239 €/kk 
Lupajantie 2 C,60.2326683,25.1068718,2h+kt,2,0,42 m²,2022,859 €/kk 
Käenkuja 8,60.1852245,24.9655411,2H+KT+S,2,1,"44,5 m²",2002,1 120 €/kk 
Bertha pauligin katu 4 A,60.2054576,25.1476249,2h+k+kph+lasitettu parveke,2,0,45 m²,2021,949 €/kk 
Arhotie 19,60.2188282,25.0856461,2h+k+kph+et+lasitettu parveke,2,0,"60,5 m²",1965,1 150 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,2h+kt,2,0,"38,5 m²",2023,1 287 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,1h+kt,1,0,31 m²,2023,930 €/kk 
Arabiankatu 4,60.2067171,24.9767752,4H+TK+S,4,1,94 m²,2014,1 977 €/kk 
Hopeatie 9,60.228466,24.8847268,2H+KK,2,0,48 m²,1978,948 €/kk 
Vanhaistentie 1d,60.24179909999999,24.8862911,2H+KT,2,0,"44,5 m²",2022,968 €/kk 
Korppaanmäentie 2,60.20304249999999,24.8980564,3H+K,3,0,"74,5 m²",1989,1 350 €/kk 
Keinulaudantie 2b,60.2357017,25.0808918,3H+K,3,0,"61,5 m²",2020,1 175 €/kk 
HUOPALAHDENTIE 29 B,60.2078619,24.8800069,2 H + KT,2,0,"34,5 m²",2021,946 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,"34,5 m²",2023,1 008 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,3h+kt,3,0,52 m²,2023,1 819 €/kk 
Sorvaajankatu 3 B 35,60.1933162,25.0429059,2h+kt+lasitettu parv,2,0,57 m²,2013,1 175 €/kk 
Kalasatamankatu 9 A,60.1876318,24.9797117,2h+k+alkovi+viherhuone,2,0,"64,5 m²",2019,2 170 €/kk 
Korppaanmäentie 17 D,60.20555729999999,24.8923589,4h+k+s,4,1,96 m²,1990,1 549 €/kk 
Pääskylänrinne 6,60.1879284,24.9666045,2H+AVOK+KPH,2,0,49 m²,1938,1 550 €/kk 
Puuskarinne 7 A,60.1719871,25.0834677,3H+K+S,3,1,"83,5 m²",1997,1 345 €/kk 
Alvar Aallon katu 3 B,60.1761122,24.9380795,3h+avok+kph+s+erillinen wc+las,3,1,"92,5 m²",2013,4 200 €/kk 
Kurjenkellonkuja 2,60.22928659999999,25.0737624,1H+KK,1,0,35 m²,1984,810 €/kk 
Tapulikaupungintie 15,60.2764878,25.0347603,4H+K+S,4,1,84 m²,2001,1 390 €/kk 
Juustenintie 4 A,60.24438730000001,24.8676149,3h+kt+s,3,1,68 m²,2015,1 198 €/kk 
Saanatunturintie 1 B,60.23584839999999,25.1255402,2h+k+kph+p,2,0,55 m²,1970,750 €/kk 
Posliinikatu 3 A,60.2107825,24.9797609,4h+k+s,4,1,170 m²,2010,2 799 €/kk 
Eteläinen Hesperiankatu 18,60.1767926,24.9241665,1H+KT,1,0,26 m²,1935,949 €/kk 
Vuotie 49b A 84,60.2072849,25.1505648,3h+kt,3,0,58 m²,2022,1 260 €/kk 
Luotsikatu 1a,60.16809999999999,24.963959,1H+K,1,0,48 m²,2022,1 320 €/kk 
Lapinmäentie 8,60.20797200000001,24.8820419,1H+KT,1,0,"30,5 m²",2023,898 €/kk 
Kauppakartanonkuja 3,60.20995319999999,25.0861237,2H+K,2,0,"59,5 m²",1975,990 €/kk 
Kruunuvuorenkatu 2,60.16745049999999,24.9625844,1H+KT,1,0,32 m²,2019,978 €/kk 
Gadolininkatu 1 B,60.2063715,24.9642952,3h+kt,3,0,69 m²,2018,1 399 €/kk 
Lintulahdenaukio 6,60.18458109999999,24.962071,2H+KT+S,2,1,"40,5 m²",1999,1 039 €/kk 
Vaasankatu 25,60.18847940000001,24.9542314,1h + avok,1,0,26 m²,1911,1 150 €/kk 
Pomeranssikuja 4 A,60.2065253,25.152881,2h+k+kph+sauna+lasitettu parve,2,1,"47,5 m²",2007,898 €/kk 
Huopalahdentie 31 A,60.20868650000001,24.8797181,3h+kt+s,3,1,72 m²,2023,1 635 €/kk 
Näyttelijäntie 24 D,60.2315822,24.8923989,1h+kt,1,0,25 m²,1959,739 €/kk 
Uimarannantie 8 A 02,60.25842590000001,24.9856429,1h+kt,1,0,"34,5 m²",2022,795 €/kk 
Kurkimäentie 1 A,60.22848759999999,25.0722466,2h+k,2,0,60 m²,1984,899 €/kk 
Jauhajankuja 2 C,60.20522510000001,25.149715,1h+kt+rp,1,0,"32,5 m²",2012,799 €/kk 
Leikosaarentie 29 A 15,60.2047128,25.1533812,1h+s+p,1,1,"33,5 m²",2001,780 €/kk 
Solvikinkatu 19 A,60.2027629,25.1577049,"4h, k, s, parveke",4,1,91 m²,2006,1 500 €/kk 
Hernesaarenkatu 17,60.1564345,24.9303921,1H+KT,1,0,"34,5 m²",1929,1 027 €/kk 
Kontulankaari 4 B,60.2376216,25.0782168,2h+k,2,0,56 m²,1969,899 €/kk 
Kruunuvuorenkatu 4 A,60.1665019,24.9652824,1h+kt+alk,1,0,"33,5 m²",1907,1 115 €/kk 
Lapinmäentie 8,60.20797200000001,24.8820419,1H+KT,1,0,26 m²,2023,819 €/kk 
Risupadontie 6,60.2319348,24.9464029,3H+K,3,0,78 m²,1971,1 198 €/kk 
Tapulikaupungintie  13,60.27708680000001,25.0351375,3H+K+S,3,1,62 m²,2000,1 135 €/kk 
Madeiranaukio 4 A 61,60.1524015,24.9117547,"4h, kt, wc, s, 2 x parveke",4,1,123 m²,2021,3 900 €/kk 
Mechelininkatu 18,60.1729662,24.9192703,3H+K,3,0,94 m²,1936,2 229 €/kk 
Yrjönkatu 38,60.1688477,24.9361712,2H+AVOK+KPH,2,0,50 m²,1908,2 000 €/kk 
Hermannin rantatie 3A,60.1867956,24.9775423,1h+kt,1,0,28 m²,2023,951 €/kk 
Retkeilijänkatu 1,60.20580400000001,25.1203533,1H+KT,1,0,31 m²,2017,810 €/kk 
Madetojankuja 1,60.2433113,24.9918836,1H+KT,1,0,28 m²,2023,778 €/kk 
Linnanpellonkuja 12 D,60.2302644,25.1022762,3h+k,3,0,70 m²,1990,999 €/kk 
Mustalahdentie 15,60.22265100000001,25.135927,1H+KT,1,0,37 m²,2019,830 €/kk 
Leikosaarentie 12 B,60.20284290000001,25.1374301,2h+kk+s,2,1,"51,5 m²",1995,993 €/kk 
